meta_system_id,area_id,st_asgeojson
ms_1o0lur0wcE4yDq8EcZTQdJhU,ae_194bd343e4a77743571c1836,"{""type"": ""Polygon"", ""coordinates"": [[[-3.589421, 40.362749], [-3.589464, 40.362722], [-3.58951, 40.3627], [-3.589559, 40.362682], [-3.589608, 40.36267], [-3.589659, 40.362662], [-3.589711, 40.36266], [-3.605042, 40.362846], [-3.605083, 40.362848], [-3.605125, 40.362854], [-3.605166, 40.362863], [-3.622961, 40.367651], [-3.623005, 40.367665], [-3.623047, 40.367683], [-3.623087, 40.367705], [-3.623125, 40.36773], [-3.623161, 40.367758], [-3.623194, 40.36779], [-3.623224, 40.367825], [-3.629806, 40.376169], [-3.62983, 40.376204], [-3.629852, 40.37624], [-3.647173, 40.408121], [-3.647195, 40.408166], [-3.647212, 40.408213], [-3.647224, 40.408262], [-3.647232, 40.408312], [-3.647234, 40.408362], [-3.647231, 40.408412], [-3.647223, 40.408462], [-3.64721, 40.40851], [-3.647193, 40.408558], [-3.647171, 40.408603], [-3.647144, 40.408645], [-3.632799, 40.429217], [-3.632777, 40.429246], [-3.632753, 40.429274], [-3.591048, 40.473483], [-3.591015, 40.473516], [-3.590979, 40.473545], [-3.59094, 40.47357], [-3.5909, 40.473592], [-3.590857, 40.47361], [-3.584059, 40.476105], [-3.584011, 40.47612], [-3.583962, 40.47613], [-3.583911, 40.476135], [-3.583861, 40.476135], [-3.583811, 40.47613], [-3.583761, 40.47612], [-3.583713, 40.476105], [-3.57748, 40.473794], [-3.577437, 40.473776], [-3.577395, 40.473753], [-3.577356, 40.473727], [-3.57732, 40.473698], [-3.577287, 40.473665], [-3.577256, 40.473629], [-3.57723, 40.47359], [-3.577207, 40.473549], [-3.577188, 40.473506], [-3.548068, 40.398484], [-3.548053, 40.398439], [-3.548042, 40.398393], [-3.548036, 40.398346], [-3.548034, 40.398298], [-3.548037, 40.398251], [-3.548044, 40.398204], [-3.548056, 40.398158], [-3.548071, 40.398113], [-3.548092, 40.39807], [-3.548116, 40.398029], [-3.548143, 40.397991], [-3.548175, 40.397955], [-3.548209, 40.397923], [-3.58938, 40.36278], [-3.589421, 40.362749]]]}"
ms_1o0lur0wcE4yDq8EcZTQdJhU,ae_1b4f820418b86d116300260a,"{""type"": ""Polygon"", ""coordinates"": [[[-3.706385, 40.39695], [-3.706435, 40.396938], [-3.706486, 40.396931], [-3.706538, 40.39693], [-3.706589, 40.396934], [-3.706639, 40.396943], [-3.706689, 40.396957], [-3.706737, 40.396976], [-3.710127, 40.398552], [-3.710161, 40.398569], [-3.710192, 40.398588], [-3.714099, 40.401172], [-3.714144, 40.401205], [-3.714184, 40.401244], [-3.714221, 40.401286], [-3.737425, 40.431748], [-3.737452, 40.431787], [-3.737475, 40.431828], [-3.737494, 40.431872], [-3.737509, 40.431916], [-3.73752, 40.431962], [-3.737526, 40.432009], [-3.737528, 40.432056], [-3.737525, 40.432104], [-3.73531, 40.453161], [-3.735303, 40.453208], [-3.735291, 40.453255], [-3.735275, 40.453299], [-3.735255, 40.453342], [-3.735231, 40.453383], [-3.735203, 40.453422], [-3.735171, 40.453458], [-3.735137, 40.45349], [-3.735099, 40.453519], [-3.735059, 40.453545], [-3.735016, 40.453566], [-3.734972, 40.453583], [-3.734926, 40.453596], [-3.734879, 40.453605], [-3.734832, 40.453609], [-3.734784, 40.453608], [-3.710245, 40.452181], [-3.710233, 40.45218], [-3.687889, 40.45035], [-3.687846, 40.450344], [-3.679316, 40.448893], [-3.679269, 40.448883], [-3.679224, 40.448868], [-3.67918, 40.448849], [-3.679138, 40.448826], [-3.679099, 40.448799], [-3.679062, 40.448769], [-3.679028, 40.448735], [-3.678998, 40.448698], [-3.678972, 40.448658], [-3.678949, 40.448616], [-3.671017, 40.432042], [-3.671009, 40.432025], [-3.665319, 40.418865], [-3.665301, 40.418818], [-3.665288, 40.41877], [-3.665281, 40.41872], [-3.665278, 40.41867], [-3.66528, 40.41862], [-3.665287, 40.418571], [-3.665299, 40.418522], [-3.665316, 40.418475], [-3.665337, 40.41843], [-3.665363, 40.418387], [-3.665393, 40.418347], [-3.665427, 40.41831], [-3.665465, 40.418277], [-3.668898, 40.415523], [-3.668932, 40.415498], [-3.668968, 40.415476], [-3.690675, 40.403382], [-3.690729, 40.403356], [-3.706336, 40.396967], [-3.706385, 40.39695]]]}"
ms_1o0lur0wcE4yDq8EcZTQdJhU,ae_1d8c5b062a0b112cc12f7201,"{""type"": ""Polygon"", ""coordinates"": [[[-3.750106, 40.362072], [-3.75016, 40.362071], [-3.757883, 40.362279], [-3.757934, 40.362283], [-3.757984, 40.362292], [-3.758033, 40.362306], [-3.75808, 40.362325], [-3.758125, 40.362348], [-3.758167, 40.362376], [-3.779449, 40.378099], [-3.779495, 40.378137], [-3.779536, 40.378181], [-3.783777, 40.38327], [-3.783806, 40.383308], [-3.783831, 40.383349], [-3.783853, 40.383393], [-3.783869, 40.383438], [-3.783882, 40.383485], [-3.78389, 40.383533], [-3.783893, 40.383581], [-3.785054, 40.449042], [-3.785054, 40.449047], [-3.785127, 40.458616], [-3.785125, 40.458665], [-3.785118, 40.458714], [-3.785106, 40.458762], [-3.78509, 40.458808], [-3.785069, 40.458853], [-3.785044, 40.458895], [-3.785015, 40.458935], [-3.784983, 40.458971], [-3.784946, 40.459005], [-3.784907, 40.459034], [-3.784865, 40.45906], [-3.784821, 40.459081], [-3.784774, 40.459098], [-3.784727, 40.45911], [-3.784678, 40.459117], [-3.784629, 40.45912], [-3.78458, 40.459118], [-3.784531, 40.459111], [-3.784483, 40.459099], [-3.784437, 40.459083], [-3.784393, 40.459062], [-3.78435, 40.459036], [-3.771633, 40.450589], [-3.771588, 40.450555], [-3.728648, 40.414483], [-3.728604, 40.414441], [-3.719234, 40.404384], [-3.719205, 40.40435], [-3.719179, 40.404313], [-3.719156, 40.404274], [-3.716147, 40.398477], [-3.716127, 40.398434], [-3.712746, 40.390057], [-3.712729, 40.39001], [-3.712717, 40.389961], [-3.712711, 40.389911], [-3.712709, 40.389861], [-3.712713, 40.389811], [-3.715195, 40.369108], [-3.715203, 40.36906], [-3.715215, 40.369014], [-3.715233, 40.368968], [-3.715254, 40.368925], [-3.71528, 40.368883], [-3.715309, 40.368845], [-3.715342, 40.368809], [-3.715379, 40.368777], [-3.715418, 40.368749], [-3.71546, 40.368724], [-3.715504, 40.368704], [-3.71555, 40.368688], [-3.715597, 40.368677], [-3.750053, 40.36208], [-3.750106, 40.362072]]]}"
ms_1o0lur0wcE4yDq8EcZTQdJhU,ae_19b87f77d83c138e65003266,"{""type"": ""Polygon"", ""coordinates"": [[[-3.681044, 40.450763], [-3.681079, 40.450731], [-3.681118, 40.450702], [-3.681159, 40.450678], [-3.681202, 40.450657], [-3.681247, 40.45064], [-3.681293, 40.450628], [-3.681341, 40.45062], [-3.681389, 40.450617], [-3.681436, 40.450619], [-3.698939, 40.452002], [-3.699011, 40.452013], [-3.703389, 40.453013], [-3.70343, 40.453024], [-3.703469, 40.453038], [-3.713653, 40.457268], [-3.713699, 40.457289], [-3.713742, 40.457316], [-3.713783, 40.457346], [-3.71382, 40.457381], [-3.720312, 40.464048], [-3.720321, 40.464057], [-3.735006, 40.479918], [-3.735038, 40.479957], [-3.735066, 40.479998], [-3.73509, 40.480043], [-3.73511, 40.480089], [-3.735124, 40.480137], [-3.735134, 40.480186], [-3.735139, 40.480236], [-3.735138, 40.480287], [-3.735133, 40.480337], [-3.735122, 40.480386], [-3.735107, 40.480434], [-3.735087, 40.48048], [-3.735063, 40.480524], [-3.725376, 40.495963], [-3.725347, 40.496004], [-3.725314, 40.496043], [-3.725277, 40.496077], [-3.725237, 40.496108], [-3.725194, 40.496135], [-3.725148, 40.496157], [-3.693032, 40.509783], [-3.692989, 40.509799], [-3.692945, 40.509811], [-3.671811, 40.514481], [-3.671798, 40.514483], [-3.662783, 40.516211], [-3.662736, 40.516218], [-3.662688, 40.51622], [-3.66264, 40.516218], [-3.662593, 40.516211], [-3.662547, 40.5162], [-3.662502, 40.516184], [-3.662459, 40.516164], [-3.662417, 40.51614], [-3.662379, 40.516112], [-3.662343, 40.516081], [-3.66231, 40.516046], [-3.66228, 40.516009], [-3.662255, 40.515969], [-3.662233, 40.515926], [-3.662216, 40.515882], [-3.662202, 40.515836], [-3.658435, 40.500025], [-3.658425, 40.499973], [-3.658421, 40.499919], [-3.658423, 40.499866], [-3.65843, 40.499813], [-3.658443, 40.499762], [-3.663171, 40.484412], [-3.663195, 40.484349], [-3.67589, 40.457036], [-3.67591, 40.456998], [-3.675933, 40.456962], [-3.675958, 40.456929], [-3.681011, 40.450799], [-3.681044, 40.450763]]]}"
ms_1o0lur0wcE4yDq8EcZTQdJhU,ae_1817d8be4a420896347d815e,"{""type"": ""Polygon"", ""coordinates"": [[[-3.699088, 40.332079], [-3.699136, 40.332064], [-3.699184, 40.332053], [-3.699234, 40.332047], [-3.699284, 40.332047], [-3.699333, 40.332051], [-3.699382, 40.33206], [-3.69943, 40.332074], [-3.699476, 40.332093], [-3.699521, 40.332116], [-3.699562, 40.332143], [-3.712114, 40.34135], [-3.712153, 40.341382], [-3.712189, 40.341418], [-3.712221, 40.341457], [-3.712249, 40.341499], [-3.712273, 40.341544], [-3.712291, 40.341591], [-3.713377, 40.344764], [-3.713391, 40.344815], [-3.7134, 40.344866], [-3.713404, 40.344919], [-3.713815, 40.373467], [-3.713811, 40.373538], [-3.712294, 40.385442], [-3.712286, 40.385486], [-3.712275, 40.385529], [-3.71226, 40.385571], [-3.708505, 40.394598], [-3.708485, 40.39464], [-3.708461, 40.39468], [-3.708434, 40.394718], [-3.708403, 40.394753], [-3.708369, 40.394785], [-3.708332, 40.394814], [-3.702773, 40.398755], [-3.702729, 40.398782], [-3.702683, 40.398805], [-3.683385, 40.407183], [-3.683343, 40.4072], [-3.668857, 40.411975], [-3.668808, 40.411988], [-3.668759, 40.411997], [-3.668709, 40.412], [-3.668658, 40.411998], [-3.657255, 40.411046], [-3.65723, 40.411043], [-3.652499, 40.410406], [-3.652453, 40.410398], [-3.652407, 40.410385], [-3.652362, 40.410367], [-3.65232, 40.410346], [-3.65228, 40.410321], [-3.652242, 40.410292], [-3.652207, 40.410259], [-3.652176, 40.410223], [-3.652148, 40.410185], [-3.645982, 40.400774], [-3.645971, 40.400757], [-3.639111, 40.389285], [-3.639089, 40.389245], [-3.639071, 40.389203], [-3.636015, 40.380955], [-3.636001, 40.380909], [-3.635991, 40.380861], [-3.635985, 40.380813], [-3.635985, 40.380764], [-3.635988, 40.380716], [-3.63658, 40.376191], [-3.636589, 40.376144], [-3.636601, 40.376099], [-3.636618, 40.376055], [-3.636639, 40.376013], [-3.636664, 40.375973], [-3.636692, 40.375936], [-3.636724, 40.375901], [-3.636759, 40.375869], [-3.675832, 40.343729], [-3.675878, 40.343696], [-3.675926, 40.343668], [-3.699043, 40.332099], [-3.699088, 40.332079]]]}"
ms_1o0lur0wcE4yDq8EcZTQdJhU,ae_1b332a0de24fa0334306322f,"{""type"": ""Polygon"", ""coordinates"": [[[-3.655577, 40.422452], [-3.655628, 40.422455], [-3.655679, 40.422462], [-3.655728, 40.422475], [-3.665455, 40.425523], [-3.6655, 40.425539], [-3.665543, 40.42556], [-3.665584, 40.425585], [-3.665623, 40.425614], [-3.665659, 40.425646], [-3.665691, 40.425682], [-3.66572, 40.42572], [-3.665745, 40.425761], [-3.675661, 40.443985], [-3.675677, 40.444018], [-3.675691, 40.444052], [-3.678386, 40.451434], [-3.678401, 40.451483], [-3.678411, 40.451533], [-3.678415, 40.451583], [-3.678415, 40.451634], [-3.67841, 40.451685], [-3.678399, 40.451734], [-3.678384, 40.451783], [-3.678363, 40.451829], [-3.657121, 40.494334], [-3.657091, 40.494387], [-3.653567, 40.499715], [-3.653538, 40.499755], [-3.653505, 40.499792], [-3.653469, 40.499825], [-3.653429, 40.499854], [-3.653387, 40.49988], [-3.653343, 40.499901], [-3.653296, 40.499918], [-3.653249, 40.49993], [-3.6532, 40.499937], [-3.653151, 40.499939], [-3.653101, 40.499937], [-3.653053, 40.49993], [-3.620016, 40.493359], [-3.619995, 40.493354], [-3.611988, 40.491394], [-3.61194, 40.49138], [-3.611894, 40.491361], [-3.61185, 40.491337], [-3.611809, 40.49131], [-3.61177, 40.491278], [-3.611735, 40.491243], [-3.611704, 40.491204], [-3.611676, 40.491162], [-3.611653, 40.491118], [-3.611634, 40.491072], [-3.61162, 40.491024], [-3.611611, 40.490975], [-3.611607, 40.490926], [-3.611608, 40.490876], [-3.613368, 40.463829], [-3.613371, 40.463795], [-3.61492, 40.452083], [-3.614929, 40.452035], [-3.614942, 40.451989], [-3.61496, 40.451944], [-3.614981, 40.4519], [-3.615008, 40.45186], [-3.615037, 40.451822], [-3.623359, 40.442189], [-3.623362, 40.442185], [-3.639124, 40.424333], [-3.639156, 40.424299], [-3.639192, 40.424269], [-3.639229, 40.424242], [-3.639269, 40.424219], [-3.639312, 40.4242], [-3.639355, 40.424185], [-3.6394, 40.424173], [-3.639446, 40.424166], [-3.655526, 40.422455], [-3.655577, 40.422452]]]}"
ms_1o0lur0wcE4yDq8EcZTQdJhU,ae_1138c907f47931fac5d8bb09,"{""type"": ""Polygon"", ""coordinates"": [[[-3.684118, 40.420697], [-3.684167, 40.420689], [-3.684217, 40.420685], [-3.684266, 40.420686], [-3.684316, 40.420692], [-3.684364, 40.420702], [-3.684411, 40.420718], [-3.684457, 40.420738], [-3.687154, 40.422096], [-3.687194, 40.422119], [-3.687232, 40.422145], [-3.687268, 40.422175], [-3.6873, 40.422208], [-3.68733, 40.422243], [-3.689736, 40.425459], [-3.689764, 40.4255], [-3.689787, 40.425543], [-3.689806, 40.425589], [-3.689821, 40.425636], [-3.689831, 40.425684], [-3.689836, 40.425733], [-3.689836, 40.425782], [-3.689831, 40.425831], [-3.689821, 40.42588], [-3.689807, 40.425927], [-3.689788, 40.425972], [-3.689765, 40.426016], [-3.689737, 40.426057], [-3.689706, 40.426095], [-3.689671, 40.42613], [-3.689633, 40.426161], [-3.687839, 40.427485], [-3.687798, 40.427512], [-3.687756, 40.427535], [-3.687711, 40.427554], [-3.687665, 40.427568], [-3.687617, 40.427577], [-3.683332, 40.42823], [-3.683282, 40.428235], [-3.683232, 40.428235], [-3.683182, 40.42823], [-3.683133, 40.428221], [-3.683085, 40.428206], [-3.678457, 40.426519], [-3.678412, 40.4265], [-3.67837, 40.426477], [-3.678329, 40.42645], [-3.678292, 40.426419], [-3.678257, 40.426384], [-3.678227, 40.426346], [-3.6782, 40.426306], [-3.678177, 40.426263], [-3.678158, 40.426218], [-3.678144, 40.426172], [-3.678134, 40.426124], [-3.678129, 40.426075], [-3.678129, 40.426027], [-3.678134, 40.425978], [-3.678143, 40.425931], [-3.678157, 40.425884], [-3.678175, 40.425839], [-3.679802, 40.422326], [-3.679825, 40.422282], [-3.679853, 40.422239], [-3.679885, 40.4222], [-3.679921, 40.422165], [-3.679961, 40.422133], [-3.680003, 40.422105], [-3.680048, 40.422082], [-3.680095, 40.422063], [-3.684071, 40.420711], [-3.684118, 40.420697]]]}"
ms_1o0lur0wcE4yDq8EcZTQdJhU,ae_1d5553be689995c3c5468673,"{""type"": ""Polygon"", ""coordinates"": [[[-3.705941, 40.416871], [-3.70599, 40.416877], [-3.706039, 40.416889], [-3.706086, 40.416906], [-3.706132, 40.416927], [-3.706175, 40.416953], [-3.706215, 40.416982], [-3.706252, 40.417016], [-3.706285, 40.417053], [-3.708637, 40.419944], [-3.708665, 40.419983], [-3.70869, 40.420024], [-3.708711, 40.420067], [-3.708727, 40.420113], [-3.708739, 40.420159], [-3.708746, 40.420207], [-3.708749, 40.420255], [-3.708747, 40.420303], [-3.708741, 40.420351], [-3.70873, 40.420397], [-3.707961, 40.423075], [-3.707946, 40.423121], [-3.707926, 40.423165], [-3.707902, 40.423206], [-3.707875, 40.423246], [-3.707843, 40.423282], [-3.707808, 40.423315], [-3.707771, 40.423345], [-3.70773, 40.423371], [-3.707687, 40.423393], [-3.707643, 40.423411], [-3.707596, 40.423424], [-3.707549, 40.423433], [-3.707501, 40.423437], [-3.707453, 40.423437], [-3.705023, 40.423302], [-3.704978, 40.423298], [-3.704933, 40.423289], [-3.70489, 40.423276], [-3.704847, 40.423259], [-3.704806, 40.423239], [-3.704768, 40.423215], [-3.704731, 40.423187], [-3.70207, 40.420974], [-3.702033, 40.42094], [-3.702, 40.420902], [-3.70197, 40.420862], [-3.701945, 40.420818], [-3.701924, 40.420772], [-3.701908, 40.420724], [-3.701897, 40.420675], [-3.701891, 40.420625], [-3.70189, 40.420574], [-3.701894, 40.420524], [-3.701904, 40.420474], [-3.701918, 40.420426], [-3.702244, 40.419488], [-3.702263, 40.419442], [-3.702286, 40.419398], [-3.702313, 40.419356], [-3.702344, 40.419318], [-3.702379, 40.419282], [-3.702418, 40.419251], [-3.70548, 40.416969], [-3.705524, 40.41694], [-3.70557, 40.416916], [-3.705619, 40.416897], [-3.705669, 40.416883], [-3.70572, 40.416874], [-3.705772, 40.41687], [-3.705891, 40.416869], [-3.705941, 40.416871]]]}"
ms_1o0lur0wcE4yDq8EcZTQdJhU,ae_1b06e96171c58e8a8d425152,"{""type"": ""Polygon"", ""coordinates"": [[[-3.695443, 40.443698], [-3.695494, 40.443687], [-3.695546, 40.443682], [-3.695598, 40.443683], [-3.69565, 40.443688], [-3.6957, 40.443699], [-3.703737, 40.445895], [-3.703783, 40.44591], [-3.703828, 40.44593], [-3.70387, 40.445954], [-3.70391, 40.445981], [-3.703948, 40.446013], [-3.703981, 40.446048], [-3.704012, 40.446086], [-3.704038, 40.446127], [-3.70406, 40.446171], [-3.704078, 40.446216], [-3.704513, 40.447487], [-3.704526, 40.447533], [-3.704535, 40.44758], [-3.704539, 40.447627], [-3.704539, 40.447675], [-3.704534, 40.447722], [-3.704525, 40.447769], [-3.704511, 40.447814], [-3.704494, 40.447859], [-3.704472, 40.447901], [-3.704446, 40.447941], [-3.704416, 40.447978], [-3.704383, 40.448012], [-3.699243, 40.452864], [-3.699205, 40.452896], [-3.699165, 40.452924], [-3.699121, 40.452948], [-3.699076, 40.452968], [-3.699029, 40.452983], [-3.69898, 40.452994], [-3.698931, 40.452999], [-3.698881, 40.453], [-3.693581, 40.4528], [-3.69353, 40.452795], [-3.693481, 40.452786], [-3.693432, 40.452771], [-3.693385, 40.452751], [-3.69334, 40.452727], [-3.693298, 40.452699], [-3.693259, 40.452666], [-3.693224, 40.452629], [-3.690424, 40.449429], [-3.690393, 40.44939], [-3.690366, 40.449348], [-3.690343, 40.449304], [-3.690325, 40.449257], [-3.690312, 40.449209], [-3.690304, 40.44916], [-3.6903, 40.44911], [-3.690302, 40.449061], [-3.690308, 40.449011], [-3.690914, 40.445653], [-3.690925, 40.445607], [-3.69094, 40.445562], [-3.690958, 40.445519], [-3.690981, 40.445478], [-3.691008, 40.445439], [-3.691038, 40.445403], [-3.691071, 40.44537], [-3.691108, 40.44534], [-3.691146, 40.445314], [-3.691188, 40.445292], [-3.691231, 40.445273], [-3.695393, 40.443714], [-3.695443, 40.443698]]]}"
ms_1o0lur0wcE4yDq8EcZTQdJhU,ae_19b6018e6a7f667e69f09a69,"{""type"": ""Polygon"", ""coordinates"": [[[-3.688934, 40.41838], [-3.68898, 40.418367], [-3.689028, 40.418357], [-3.689076, 40.418353], [-3.689124, 40.418353], [-3.689172, 40.418358], [-3.689219, 40.418367], [-3.689265, 40.418381], [-3.68931, 40.418399], [-3.689352, 40.418422], [-3.689392, 40.418448], [-3.68943, 40.418479], [-3.689464, 40.418512], [-3.689495, 40.418549], [-3.689523, 40.418589], [-3.689546, 40.418631], [-3.689565, 40.418675], [-3.691223, 40.423038], [-3.691239, 40.423085], [-3.691249, 40.423134], [-3.691255, 40.423184], [-3.691256, 40.423234], [-3.691251, 40.423284], [-3.691242, 40.423333], [-3.691228, 40.423381], [-3.691209, 40.423428], [-3.691185, 40.423472], [-3.691157, 40.423513], [-3.691126, 40.423552], [-3.69109, 40.423587], [-3.691051, 40.423619], [-3.686841, 40.426698], [-3.686802, 40.426724], [-3.686761, 40.426746], [-3.686718, 40.426764], [-3.686673, 40.426778], [-3.686627, 40.426788], [-3.686581, 40.426793], [-3.686534, 40.426794], [-3.686487, 40.426791], [-3.686441, 40.426783], [-3.686395, 40.426771], [-3.686351, 40.426755], [-3.683647, 40.42561], [-3.683602, 40.425588], [-3.68356, 40.425563], [-3.683521, 40.425533], [-3.683485, 40.4255], [-3.683452, 40.425463], [-3.683423, 40.425423], [-3.683398, 40.425381], [-3.681762, 40.422247], [-3.681742, 40.422203], [-3.681726, 40.422158], [-3.681714, 40.422112], [-3.681707, 40.422065], [-3.681705, 40.422017], [-3.681707, 40.42197], [-3.681713, 40.421922], [-3.681725, 40.421876], [-3.68174, 40.421831], [-3.68176, 40.421787], [-3.681783, 40.421746], [-3.681811, 40.421707], [-3.681842, 40.421671], [-3.681876, 40.421638], [-3.681914, 40.421608], [-3.681954, 40.421583], [-3.681996, 40.421561], [-3.68889, 40.418398], [-3.688934, 40.41838]]]}"
